"","City","Positive","Negative"
"20311","Steger",33,7
"20312","Dongola",31,4
"20313","New Douglas",40,8
"20314","Witt",24,20
"20315","Vermont",28,11
"20316","Mapleton",28,13
"20317","White Heath",30,16
"20318","Raleigh",26,8
"20319","Pearl City",44,5
"20320","Oswego",27,17
"20321","Mazon",33,6
"20322","Lanark",34,6
"20323","Mount Olive",27,6
"20324","New Canton",43,7
"20325","Roanoke",25,19
"20326","Albany",23,11
"20327","Mount Sterling",27,2
"20328","Rockwood",33,9
"20329","Bourbon",34,8
"20330","Capron",24,13
"20331","Wilmette",21,17
"20332","Timewell",1,0
"20333","Champaign",24,11
"20334","Christopher",18,18
"20335","Berkeley",37,11
"20336","Marine",18,20
"20337","Muddy",24,20
"20338","Belknap",16,18
"20339","Keeneyville",1,0
"20340","University Park",45,1
"20341","East Hazel Crest",0,3
"20342","Alpha",29,11
"20343","East Carondelet",1,2
"20344","Harlem",44,3
"20345","Campton Hills",5,0
"20346","Bradley",29,7
"20347","Colona",25,7
"20348","Dakota",11,8
"20349","Herrick",23,22
"20350","Lake Petersburg",5,32
"20351","Assumption",21,16
"20352","Muncie",26,15
"20353","Port Byron",10,7
"20354","Glen Ellyn",27,3
"20355","Kaskaskia",39,5
"20356","Odin",30,10
"20357","Goodwine",32,5
"20358","Washington Park",17,0
"20359","Sciota",8,0
"20360","Hennepin",20,23
"20361","Farmer City",30,15
"20362","Davis",16,15
"20363","Alvin",30,5
"20364","Olympia Fields",25,4
"20365","Winnetka",35,10
"20366","Elizabethtown",25,8
"20367","Gillespie",24,12
"20368","Murphysboro",16,12
"20369","Carthage",18,23
"20370","Urbana",31,3
"20371","Perry",19,2
"20372","Arcola",40,3
"20373","Johnston City",17,13
"20374","Elmwood Park",25,16
"20375","Boulder",24,10
"20376","Findlay",21,17
"20377","Lake Villa",42,0
"20378","Como",20,14
"20379","Grand Chain",34,11
"20380","Latham Park",39,0
"20381","Kankakee",24,23
"20382","Franklin",25,12
"20383","Ashton",39,4
"20384","Mark",26,13
"20385","Cherry Valley",31,10
"20386","McNabb",29,7
"20387","Patoka",16,27
"20388","Hometown",42,5
"20389","Ohlman",14,11
"20390","Parnell",25,17
"20391","Florence",13,4
"20392","Opdyke",28,2
"20393","Batchtown",0,0
"20394","Eldorado",26,10
"20395","Hampshire",29,10
"20396","Altamont",15,12
"20397","Huey",20,12
"20398","Manhattan",24,5
"20399","Versailles",25,9
"20400","East Dubuque",18,23
"20401","Coal Valley",28,6
"20402","Twin Grove",18,3
"20403","Burr Ridge",28,11
"20404","Tamaroa",0,0
"20405","Lily Lake",32,4
"20406","Lincolnwood",21,17
"20407","Holiday Shores",39,11
"20408","Wauconda",31,4
"20409","Stanford",29,6
"20410","Preston Heights",10,1
"20411","Riverdale",23,5
"20412","Simpson",30,10
"20413","Limestone",8,2
"20414","Midland City",36,3
"20415","Robinson",29,12
"20416","Crete",29,5
"20417","Shabbona",6,4
"20418","Oakland",17,13
"20419","Warsaw",25,18
"20420","South Wilmington",13,12
"20421","Saint Jacob",29,13
"20422","Channel Lake",35,9
"20423","Bluffside",16,0
"20424","Bureau",35,8
"20425","Crestwood",21,20
"20426","McCullom Lake",0,0
"20427","Prairie Grove",26,5
"20428","Genoa",28,12
"20429","La Moille",0,0
"20430","London Mills",18,12
"20431","Calvin",14,7
"20432","Harristown",35,15
"20433","Chesterfield",34,13
"20434","Triumph",37,8
"20435","Morrisonville",19,12
"20436","Dennison",24,19
"20437","Iola",16,15
"20438","Tallula",31,14
"20439","Bartonville",12,6
"20440","Fairview Heights",24,11
"20441","Gilman",25,15
"20442","Winchester",32,8
"20443","Bellflower",29,6
"20444","New Hartford",47,3
"20445","Tunnel Hill",24,12
"20446","Zion",18,22
"20447","Bellmont",14,3
"20448","Hammond",18,27
"20449","Cowden",19,18
"20450","Brownstown",27,4
"20451","West Salem",43,5
"20452","North Glen Ellyn",2,0
"20453","Old Ripley",22,12
"20454","Eastwood Manor",4,0
"20455","Grandview",40,4
"20456","Energy",19,6
"20457","Tiskilwa",1,3
"20458","Del Mar Woods",0,2
"20459","Strasburg",9,8
"20460","Sublette",26,11
"20461","Franklin Grove",25,12
"20462","South Pekin",1,0
"20463","Magnolia",34,6
"20464","Sauget",12,21
"20465","Gages Lake",2,2
"20466","Creal Springs",0,0
"20467","Fox River Grove",14,2
"20468","Grand Detour",33,6
"20469","Shorewood",26,7
"20470","Lena",17,15
"20471","Calumet City",19,20
"20472","Millburn",27,16
"20473","Boody",10,12
"20474","Chatsworth",22,13
"20475","Glencoe",11,9
"20476","Marquette Heights",6,0
"20477","Wheaton",28,7
"20478","Long Point",38,9
"20479","Savanna",21,17
"20480","Albion",46,2
"20481","Hinckley",37,5
"20482","Balcom",33,6
"20483","Imbs",27,11
"20484","Amboy",20,17
"20485","Elvaston",15,12
"20486","New Grand Chain",4,1
"20487","North Park",17,5
"20488","Freeman Spur",2,1
"20489","De Land",34,10
"20490","Annapolis",23,21
"20491","Poplar Grove",17,13
"20492","Hecker",20,17
"20493","Utica",29,7
"20494","Wedron",2,0
"20495","Ivesdale",3,0
"20496","West York",37,4
"20497","Villa Park",33,5
"20498","Williamson",15,21
"20499","Eldred",17,14
"20500","Clayton",22,9
"20501","Ridgway",21,15
"20502","Holiday Hills",42,5
"20503","Philo",9,2
"20504","Ringwood",25,17
"20505","Maunie",0,1
"20506","Alexis",19,9
"20507","Summerfield",19,19
"20508","Wheeling",30,10
"20509","Fairmont",26,8
"20510","Bethalto",29,6
"20511","Kings",28,17
"20512","Wilson",32,6
"20513","Ursa",28,9
"20514","North Riverside",22,8
"20515","Esmond",13,21
"20516","Ashley",31,11
"20517","Topeka",12,30
"20518","Woodworth",31,8
"20519","Kewanee",25,13
"20520","Prairie du Rocher",1,0
"20521","Bedford Park",34,8
"20522","Lovington",36,6
"20523","Gard",22,8
"20524","Illinois City",34,7
"20525","Franklin Park",32,6
"20526","Cerro Gordo",19,17
"20527","Highwood",26,3
"20528","Liberty",39,7
"20529","Chesterville",36,8
"20530","Junction",13,22
"20531","Claremont",10,34
"20532","Knollwood",31,6
"20533","Glasford",4,5
"20534","Vera",33,10
"20535","Bulpitt",9,1
"20536","Bartelso",1,0
"20537","East Peoria",19,15
"20538","Coulterville",3,2
"20539","Wilton Center",11,2
"20540","Saint Francisville",10,1
"20541","Trout Valley",34,3
"20542","Buffalo",19,16
"20543","Lake Summerset",3,0
"20544","Chebanse",1,7
"20545","Brownfield",23,18
"20546","Dayton",16,22
"20547","Gilberts",30,4
"20548","Bluford",21,9
"20549","Wadsworth",19,21
"20550","Allenville",0,0
"20551","Crest Hill",25,3
"20552","Haldane",33,7
"20553","Davis Junction",6,7
"20554","Gibson City",29,15
"20555","Winfield",12,9
"20556","Delavan",25,6
"20557","Meadowbrook",24,13
"20558","Hutsonville",8,3
"20559","Mill Creek",36,6
"20560","Lincoln",23,15
"20561","Borton",34,3
"20562","Blue Island",30,10
"20563","Xenia",28,6
"20564","Saint Anne",28,0
"20565","Tremont",33,16
"20566","Flat Rock",26,11
"20567","Hastings",19,15
"20568","Swanwick",13,3
"20569","Glendale Heights",40,0
"20570","Auburn",24,12
"20571","Catlin",29,11
"20572","Brimfield",31,10
"20573","Lawndale",13,21
"20574","New Boston",43,6
"20575","Sun River Terrace",2,0
"20576","Dieterich",25,11
"20577","Maple Park",30,3
"20578","Patterson",27,8
"20579","Alton",22,12
"20580","Winnebago",28,17
"20581","Tennessee",22,19
"20582","Manlius",31,5
"20583","La Grange Park",47,2
"20584","Nokomis",22,7
"20585","Decatur",26,11
"20586","Sheridan",27,13
"20587","Worden",22,19
"20588","Aroma Park",24,1
"20589","Tower Hill",31,12
"20590","Raritan",27,11
"20591","Seatonville",3,1
"20592","Romeoville",28,9
"20593","Matteson",21,17
"20594","Stone Park",23,9
"20595","Garden Prairie",44,2
"20596","Loami",4,3
"20597","Sadorus",2,0
"20598","Palos Park",50,0
"20599","Cottonwood",15,22
"20600","Elco",38,5
"20601","Carbon Hill",15,29
"20602","Carlyle",33,4
"20603","Paris",17,23
"20604","New Athens",48,1
"20605","Goodfield",3,8
"20606","Evergreen Park",43,3
"20607","Worth",35,10
"20608","Arenzville",0,0
"20609","Rondout",14,4
"20610","Deer Creek",25,8
"20611","Homer",29,9
"20612","Norridge",31,10
"20613","Buffalo Grove",34,7
"20614","Loraine",29,7
"20615","Sammons Point",5,1
"20616","Creve Coeur",31,9
"20617","Gorham",19,9
"20618","Warrensburg",15,12
"20619","Gladstone",27,10
"20620","Chadwick",34,11
"20621","Millstadt",14,1
"20622","Floraville",12,2
"20623","Humboldt",34,10
"20624","Ipava",1,0
"20625","Sullivan",35,7
"20626","Manteno",21,6
"20627","Little York",38,11
"20628","Camden",26,10
"20629","Shelbyville",17,1
"20630","Jerome",18,18
"20631","Burnham",28,10
"20632","Gulfport",5,39
"20633","Sparta",13,17
"20634","North Aurora",17,16
"20635","Wapella",23,14
"20636","Evansville",32,7
"20637","Cullom",0,0
"20638","Durand",27,10
"20639","Aurora",30,13
"20640","Macomb",29,8
"20641","Harvard",16,9
"20642","Hoffman Estates",35,4
"20643","Rockford",28,9
"20644","Waverly",12,23
"20645","Kenney",29,18
"20646","Carlinville",23,4
"20647","Anchor",22,17
"20648","Sugar Grove",36,5
"20649","Round Lake Park",49,0
"20650","Modesto",21,17
"20651","Campus",36,11
"20652","Lancaster",7,40
"20653","Hettick",0,1
"20654","Patton",29,12
"20655","Woodson",13,26
"20656","South Chicago Heights",16,1
"20657","Mount Carmel",42,5
"20658","Stockland",29,13
"20659","Glen Carbon",21,14
"20660","Monmouth",34,6
"20661","Inverness",36,5
"20662","Brooklyn",26,7
"20663","Mount Prospect",39,11
"20664","Mansfield",19,22
"20665","Fulton",15,28
"20666","Sunfield",14,1
"20667","Germantown",41,4
"20668","Benson",29,4
"20669","Flora",31,7
"20670","Round Lake Beach",24,8
"20671","Brocton",27,1
"20672","Wellington",29,7
"20673","Bethany",44,5
"20674","Divernon",2,0
"20675","Livingston",27,8
"20676","Richview",34,4
"20677","Saint Peter",49,1
"20678","Kampsville",2,4
"20679","Westville",29,9
"20680","Atkinson",15,25
"20681","Darwin",28,8
"20682","Le Roy",19,2
"20683","Staunton",33,9
"20684","Barrington Woods",5,0
"20685","Dahlgren",33,10
"20686","Alma",40,5
"20687","Forest Lake",12,3
"20688","Eureka",23,17
"20689","Mitchell",27,18
"20690","Whittington",31,11
"20691","Naplate",0,0
"20692","Barnhill",36,5
"20693","Farmersville",42,2
"20694","Broadwell",20,10
"20695","Cooksville",11,7
"20696","Bannockburn",35,8
"20697","Bloomington",22,13
"20698","Milford",28,8
"20699","Bellevue",22,5
"20700","Lake in the Hills",13,32
"20701","Beardstown",14,16
"20702","Summum",22,13
"20703","Victoria",36,7
"20704","Dorsey",10,12
"20705","Harmon",17,17
"20706","Country Club Hills",24,2
"20707","Washburn",30,11
"20708","Bush",30,12
"20709","Western Springs",32,11
"20710","Nelson",19,12
"20711","Olney",45,3
"20712","Jamaica",27,18
"20713","Des Plaines",26,13
"20714","Lake Fork",26,18
"20715","Roxana",27,13
"20716","Bull Valley",28,13
"20717","West Brooklyn",22,7
"20718","Ruma",31,5
"20719","Mason",27,11
"20720","Palatine",19,23
"20721","Belvidere",18,8
"20722","McCormick",37,8
"20723","La Prairie",42,0
"20724","Troy Grove",3,8
"20725","Chrisman",29,11
"20726","Heritage Lake",27,18
"20727","Bryant",19,20
"20728","Niantic",32,8
"20729","Baker",27,13
"20730","Cary",27,10
"20731","Chester",30,3
"20732","Norris City",17,20
"20733","Rushville",38,7
"20734","Darien",26,16
"20735","Aledo",30,8
"20736","Altona",15,31
"20737","Roselle",29,9
"20738","Cornell",27,9
"20739","Greenville",25,10
"20740","Woodstock",28,7
"20741","Marseilles",26,11
"20742","Dundas",31,7
"20743","Bingham",27,8
"20744","Cisne",25,3
"20745","Lawrence",24,21
"20746","Ramsey",29,14
"20747","North Henderson",30,13
"20748","Jamesburg",13,4
"20749","Mahomet",18,10
"20750","Bradford",29,11
"20751","Shipman",19,14
"20752","Detroit",33,5
"20753","Lake Forest",12,4
"20754","North Chicago",30,14
"20755","Tovey",26,15
"20756","Highland",30,10
"20757","Pingree Grove",2,0
"20758","Buffalo Prairie",34,3
"20759","Golf",43,4
"20760","Pittwood",1,0
"20761","Armington",17,7
"20762","Hebron",12,28
"20763","Monroe Center",33,12
"20764","Coleta",27,5
"20765","East Brooklyn",1,46
"20766","Rockbridge",17,21
"20767","Central City",31,7
"20768","Papineau",25,11
"20769","Cortland",20,7
"20770","Grayslake",36,10
"20771","Mount Clare",30,15
"20772","Greenup",32,11
"20773","Geneva",32,11
"20774","Collison",23,12
"20775","Prestbury",34,5
"20776","Vergennes",25,1
"20777","Minonk",8,5
"20778","Banner",25,16
"20779","Jacksonville",41,4
"20780","Milton",24,14
"20781","Lost Nation",18,24
"20782","Barrington",19,13
"20783","Fox Lake",26,11
"20784","Kincaid",28,14
"20785","Steward",25,17
"20786","Payson",20,7
"20787","Winthrop Harbor",5,4
"20788","O'Fallon",26,6
"20789","Olive Branch",22,16
"20790","Dover",29,7
"20791","Abingdon",29,10
"20792","Girard",10,20
"20793","Cabery",0,0
"20794","Vermilion",22,6
"20795","Weldon",24,14
"20796","Elwood",31,12
"20797","Joy",34,10
"20798","Oreana",16,15
"20799","Earlville",25,15
"20800","Pine Mountain Valley",1,0
"20801","Blackwells",40,4
"20802","Madras",27,14
"20803","Milner",22,15
"20804","Eatonton",21,5
"20805","Bushnell",26,15
"20806","Richland",25,9
"20807","Edison",38,6
"20808","Lookout Mountain",21,22
"20809","Plainville",21,11
"20810","Blakely",25,11
"20811","Cadley",28,9
"20812","Fort Valley",28,0
"20813","Sumner",20,20
"20814","Appling",39,5
"20815","Rayle",10,25
"20816","Lake City",22,14
"20817","Ephesus",32,11
"20818","Buford",32,9
"20819","Payne",32,7
"20820","Ranger",24,17
"20821","Richmond Hill",29,9
"20822","Tallulah Falls",4,5
"20823","Modoc",29,14
"20824","Atlanta",37,5
"20825","Potterville",13,33
"20826","Uvalda",2,0
"20827","Holland",6,21
"20828","Montrose",25,11
"20829","Noonday",38,8
"20830","Lakeland",29,4
"20831","McKinnon",23,11
"20832","Boykin",27,6
"20833","Gloster",32,4
"20834","Haddock",22,16
"20835","Veal",18,24
"20836","Mount Bethel",3,0
"20837","Vesta",25,12
"20838","Hagan",25,14
"20839","Jersey",34,9
"20840","Union Point",26,17
"20841","Dickey",10,31
"20842","Rentz",36,2
"20843","Pitts",24,15
"20844","Arabi",28,14
"20845","Lakeview",16,19
"20846","Arnoldsville",2,0
"20847","White Sulphur Springs",37,11
"20848","Godfrey",18,6
"20849","Moxley",15,13
"20850","Pineview",12,29
"20851","Sugar Hill",29,11
"20852","Rex",28,10
"20853","Flemington",20,10
"20854","Barwick",19,21
"20855","Howard",25,16
"20856","Coosa",39,5
"20857","Allentown",18,8
"20858","Crawfordville",16,19
"20859","Durand",27,10
"20860","Swainsboro",27,4
"20861","Collins",13,21
"20862","Abbeville",14,19
"20863","Townsend",22,5
"20864","Morganville",27,8
"20865","Tunnel Hill",22,12
"20866","Martinez",22,9
"20867","Waleska",27,13
"20868","Saint Marks",33,10
"20869","Cherry Log",26,14
"20870","Walnut Grove",30,9
"20871","Gum Branch",16,5
"20872","Avera",26,17
"20873","Hamilton",20,11
"20874","Enigma",9,31
"20875","Henderson",23,8
"20876","Wrens",32,8
"20877","Rock Spring",35,10
"20878","West Green",22,14
"20879","Winokur",41,5
"20880","Gracewood",12,1
"20881","Toccoa",33,12
"20882","North Druid Hills",22,5
"20883","Sylvester",27,11
"20884","Dixie Union",26,12
"20885","Cedartown",3,0
"20886","Crabapple",30,7
"20887","Rest Haven",38,8
"20888","Calvary",30,9
"20889","Newton",20,10
"20890","Wrightsville",26,16
"20891","Hoboken",20,7
"20892","Oakdale",29,9
"20893","Gibson",25,17
"20894","Webb",26,14
"20895","Cochran",23,10
"20896","Lyons",22,24
"20897","Moultrie",22,15
"20898","Grayson",9,39
"20899","Milledgeville",25,12
"20900","Baldwin",21,13
"20901","Metter",18,11
"20902","Pooler",22,12
"20903","Dexter",19,16
"20904","Coal Mountain",17,27
"20905","Tarboro",20,12
"20906","Haralson",22,12
"20907","Emory",31,5
"20908","Chicopee",31,7
"20909","Canton",20,11
"20910","Claxton",29,6
"20911","Vidalia",25,9
"20912","Acree",33,12
"20913","Lincoln Park",32,7
"20914","Weber",35,6
"20915","Acworth",31,6
"20916","Ashburn",29,11
"20917","Hazlehurst",25,5
"20918","Buena Vista",26,4
"20919","Johns Creek",42,3
"20920","Hortense",17,5
"20921","Mountain View",38,9
"20922","Whigham",28,8
"20923","Tiger",40,5
"20924","Cadwell",23,19
"20925","Valdosta",37,4
"20926","Guyton",24,16
"20927","Dames Ferry",2,5
"20928","Towns",26,14
"20929","Springvale",12,25
"20930","Junction City",17,27
"20931","Shellman Bluff",1,0
"20932","Chatsworth",23,11
"20933","Vinings",23,3
"20934","Gumlog",8,0
"20935","Hatley",44,4
"20936","Doles",10,36
"20937","Lavonia",36,4
"20938","Huber",17,3
"20939","Norcross",35,9
"20940","Morrow",32,6
"20941","Emerson",22,12
"20942","Millhaven",24,16
"20943","Byron",37,9
"20944","Statesboro",22,11
"20945","Shingler",28,11
"20946","Glennville",17,14
"20947","Tyrone",25,19
"20948","Culverton",0,0
"20949","Stovall",23,11
"20950","Round Oak",40,2
"20951","Dunwoody",34,7
"20952","Hartwell",33,7
"20953","Excelsior",18,2
"20954","Centerville",23,9
"20955","Zebulon",21,4
"20956","Sharon",18,8
"20957","Denton",20,11
"20958","Wayside",24,20
"20959","Coolidge",25,14
"20960","Donalsonville",2,2
"20961","Gordy",17,6
"20962","Peachtree City",30,2
"20963","Calhoun",24,14
"20964","Inman",21,20
"20965","Whitesburg",28,8
"20966","Chauncey",9,31
"20967","Chula",44,4
"20968","Cornelia",28,10
"20969","Coleman",24,5
"20970","Ellijay",29,7
"20971","Cataula",0,0
"20972","Williamson",10,35
"20973","Raymond",25,4
"20974","Phelps",25,7
"20975","Gresham Park",19,19
"20976","Locust Grove",26,24
"20977","Remerton",9,3
"20978","Clayton",24,12
"20979","Carrollton",33,7
"20980","Chickamauga",40,2
"20981","Summerville",34,5
"20982","Ohoopee",26,1
"20983","Ellaville",4,2
"20984","Alpharetta",36,6
"20985","Tarrytown",25,10
"20986","Apalachee",28,5
"20987","Talbotton",3,2
"20988","Willacoochee",3,0
"20989","Snellville",38,5
"20990","Sumac",30,9
"20991","East Ellijay",4,7
"20992","Barnesville",31,7
"20993","Pine Mountain",36,2
"20994","Duluth",12,6
"20995","Braselton",28,8
"20996","Howell",18,26
"20997","Sea Island",31,3
"20998","Martin",29,8
"20999","Oak Park",30,11
"21000","Ellenwood",35,5
"21001","Starrs Mill",11,4
"21002","Baden",17,21
"21003","Habersham",27,18
"21004","Elko",35,8
"21005","Leslie",32,12
"21006","Horns",27,17
"21007","Whitesville",23,13
"21008","Loganville",26,10
"21009","Lithonia",13,18
"21010","Resaca",28,10
"21011","McKinney",2,46
"21012","Pinehurst",38,7
"21013","Barney",25,12
"21014","Rosier",40,4
"21015","Arlington",36,4
"21016","Eagle Grove",33,14
"21017","Roper",14,17
"21018","Twin Lakes",47,0
"21019","Dudley",26,8
"21020","Montgomery",18,25
"21021","Covington",2,14
"21022","Braswell",22,9
"21023","Bellville",14,12
"21024","Indian Springs",39,2
"21025","White",27,18
"21026","Pine Park",28,15
"21027","Brookfield",37,9
"21028","Bluffton",39,5
"21029","Waverly",10,21
"21030","Watkinsville",41,5
"21031","Porterdale",5,0
"21032","Ray City",26,11
"21033","Epworth",32,7
"21034","Lumpkin",20,15
"21035","Monticello",37,4
"21036","Brooks",23,14
"21037","Wesley",19,17
"21038","Marietta",7,40
"21039","Doyle",26,7
"21040","Tallapoosa",5,41
"21041","Helen",36,7
"21042","Jonesboro",20,17
"21043","Hartford",29,9
"21044","Winterville",25,11
"21045","Leesburg",28,8
"21046","Rutledge",28,12
"21047","Blythe",23,10
"21048","Stapleton",27,8
"21049","Raoul",25,16
"21050","Register",39,6
"21051","Augusta",24,14
"21052","Oak Grove",26,8
"21053","Palmetto",22,18
"21054","Rome",28,13
"21055","Woodstock",31,6
"21056","Broxton",23,12
"21057","Starrsville",0,2
"21058","Brookhaven",34,2
"21059","Blackshear",24,5
"21060","Stillwell",18,15
"21061","Sasser",35,6
"21062","Phillipsburg",32,13
"21063","Hogansville",27,14
"21064","Hutchins",33,10
"21065","Savannah",25,16
"21066","Mershon",29,17
"21067","Argyle",27,13
"21068","Dillard",25,1
"21069","Potter",14,3
"21070","Plainfield",33,2
"21071","Seville",17,9
"21072","Bancroft",24,6
"21073","Milan",25,19
"21074","Rockmart",21,22
"21075","Council",32,18
"21076","Groveland",39,3
"21077","White Oak",42,7
"21078","Darien",27,15
"21079","Talmo",18,3
"21080","Rhine",10,13
"21081","Sparks",18,22
"21082","Canon",20,20
"21083","Bartow",27,16
"21084","Mountain City",23,6
"21085","McRae",30,10
"21086","Jefferson",24,11
"21087","Six Mile",44,5
"21088","Mora",24,4
"21089","Sunset Village",47,0
"21090","Stonecrest",19,11
"21091","Funston",37,5
"21092","Meansville",0,4
"21093","Elizabeth",29,9
"21094","Good Hope",35,14
"21095","Clyo",3,28
"21096","Attapulgus",5,0
"21097","Zebina",2,4
"21098","Juliette",27,12
"21099","Snapfinger",7,3
"21100","Carnesville",6,9
"21101","Kennesaw",32,1
"21102","Bostwick",17,30
"21103","Bloomingdale",38,7
"21104","Commerce",32,10
"21105","Isle of Hope",43,7
"21106","Flippen",29,13
"21107","Hoschton",19,29
"21108","Mableton",34,2
"21109","Fowlstown",0,1
"21110","Benevolence",40,9
"21111","Glen Haven",34,11
"21112","Hinesville",42,3
"21113","Ivey",26,10
"21114","Aragon",32,8
"21115","Pelham",30,7
"21116","Fair Oaks",45,1
"21117","Raines",26,7
"21118","Port Wentworth",21,18
"21119","Evans",35,6
"21120","Boston",28,13
"21121","Jesup",14,26
"21122","Fairburn",32,8
"21123","Ocilla",27,3
"21124","Summertown",22,10
"21125","Folkston",10,3
"21126","Winder",27,10
"21127","Shellman",22,19
"21128","Lyerly",16,15
"21129","Pine Lake",9,23
"21130","Daisy",19,15
"21131","Swords",26,16
"21132","Cobbtown",1,0
"21133","Dacula",23,9
"21134","Stockbridge",37,7
"21135","Fort Oglethorpe",10,12
"21136","Grantville",26,18
"21137","Hollywood",28,12
"21138","Halls",27,13
"21139","Moniac",11,6
"21140","Sparta",21,18
"21141","Jeffersonville",21,14
"21142","Parrott",20,16
"21143","Matthews",31,12
"21144","Rebecca",31,9
"21145","Lake Park",33,5
"21146","Alexander",21,12
"21147","Davisboro",0,0
"21148","Knoxville",36,4
"21149","Almon",9,35
"21150","Withers",28,13
"21151","Doerun",5,5
"21152","Hayneville",4,13
"21153","Royston",28,13
"21154","Rising Fawn",13,6
"21155","Waycross",19,25
"21156","Trion",29,11
"21157","Bemiss",42,6
"21158","Arco",24,9
"21159","Rocky Mount",23,8
"21160","Musella",13,2
"21161","Flowery Branch",41,2
"21162","Unadilla",27,8
"21163","Auburn",31,9
"21164","Douglasville",29,8
"21165","Shiloh",23,15
"21166","Cecil",30,7
"21167","Van Wert",29,7
"21168","The Rock",39,7
"21169","Americus",20,19
"21170","Waring",19,11
"21171","Ailey",34,6
"21172","Farmington",29,9
"21173","Bolingbroke",35,6
"21174","New Hope",47,0
"21175","Lovett",11,15
"21176","Bullard",23,8
"21177","Meinhard",1,0
"21178","Chamblee",24,19
"21179","Wadley",24,8
"21180","Reno",28,12
"21181","Putney",18,15
"21182","Renfroe",20,16
"21183","Crawford",23,17
"21184","Mount Airy",21,5
"21185","Patterson",25,7
"21186","Unionville",29,11
"21187","Moreland",25,15
"21188","Linwood",29,11
"21189","Chalybeate Springs",3,1
"21190","Emmalane",3,0
"21191","Satilla",10,0
"21192","Dawesville",3,0
"21193","Silk Hope",43,4
"21194","Orchard Hill",33,6
"21195","Pridgen",23,17
"21196","Omega",13,32
"21197","Decatur",26,15
"21198","Munnerlyn",29,3
"21199","Canoochee",1,0
"21200","Millwood",35,10
"21201","Scottdale",24,14
"21202","Sycamore",31,9
"21203","Highland Mills",16,4
"21204","Higgston",0,1
"21205","Mechanicsville",26,16
"21206","Lumber City",22,5
"21207","Manassas",21,23
"21208","Hilltop",16,26
"21209","Reed Creek",13,6
"21210","Leland",16,24
"21211","Arnold Mill",5,4
"21212","Comer",25,11
"21213","Warthen",3,0
"21214","Saint George",39,8
"21215","Alston",23,13
"21216","Elberton",14,9
"21217","Kingston",26,4
"21218","Union City",22,13
"21219","Grovetown",26,9
"21220","Newborn",32,15
"21221","Garfield",25,9
"21222","Barretts",35,7
"21223","Monroe",31,9
"21224","Country Club Estates",19,0
"21225","Maysville",38,1
"21226","Rupert",25,11
"21227","Reynolds",28,8
"21228","Bishop",31,12
"21229","Lincolnton",42,3
"21230","Poulan",19,8
"21231","DeWitt",27,7
"21232","Shawnee",23,13
"21233","Cordele",35,8
"21234","Colbert",23,21
"21235","McDonough",23,9
"21236","Center Post",42,4
"21237","Screven",22,20
"21238","Newnan",29,8
"21239","Lilly",8,3
"21240","Kirkland",29,11
"21241","Dasher",29,13
"21242","Tucker",15,27
"21243","Blairsville",30,4
"21244","Dover",29,9
"21245","Brookwood",31,10
"21246","Hull",38,7
"21247","Tybee Island",29,8
"21248","Berlin",25,12
"21249","Pine Log",33,8
"21250","Upatoi",1,0
"21251","Newtown",28,7
"21252","DeSoto",3,39
"21253","Mount Zion",36,7
"21254","Naylor",29,9
"21255","Powder Springs",23,6
"21256","Homer",25,12
"21257","Pembroke",29,9
"21258","Westoak",5,2
"21259","Fitzgerald",23,16
"21260","Dublin",26,15
"21261","Lexington",29,8
"21262","Bremen",24,5
"21263","Axson",12,6
"21264","Sunny Side",40,9
"21265","Cohutta",14,2
"21266","Woodville",26,16
"21267","McCaysville",8,0
"21268","Midway",31,12
"21269","Warner Robins",26,9
"21270","Young Harris",24,23
"21271","Offerman",36,5
"21272","Siloam",21,16
"21273","Reeves",25,11
"21274","Buchanan",11,34
"21275","Concord",26,4
"21276","Washington",22,15
"21277","Colquitt",26,6
"21278","Tilton",21,14
"21279","Warrenton",30,10
"21280","Manchester",28,12
"21281","Blue Ridge",19,5
"21282","Dalton",22,5
"21283","Sandy Springs",37,4
"21284","Tazewell",36,7
"21285","White Plains",44,5
"21286","Dawsonville",13,15
"21287","Jackson",24,13
"21288","Campton",23,9
"21289","Holly Springs",32,9
"21290","Aldora",12,4
"21291","Silco",16,2
"21292","Villa Rica",28,7
"21293","Keithsburg",1,0
"21294","Waverly Hall",13,1
"21295","Butler",25,12
"21296","Midville",4,8
"21297","Evansville",31,7
"21298","Russell",27,10
"21299","Merrillville",32,4
"21300","Saint Clair",27,6
"21301","Taylorsville",25,3
"21302","Avondale Estates",38,3
"21303","Helena",29,10
"21304","Rincon",20,13
"21305","Lakeview Estates",3,1
"21306","Windsor Forest",39,4
"21307","Sharpsburg",39,1
"21308","Chattahoochee Hills",4,1
"21309","Cogdell",25,20
"21310","McIntyre",21,12
"21311","Rocky Ford",29,8
"21312","Druid Hills",18,13
"21313","Yatesville",1,0
"21314","Oglethorpe",34,5
"21315","Hiawassee",23,13
"21316","Danielsville",17,1
"21317","Edgehill",30,12
"21318","Mount Carmel",42,5
"21319","Sky Valley",31,14
"21320","Big Creek",33,11
"21321","Friendship",39,10
"21322","Gillsville",0,0
"21323","Marshallville",0,1
"21324","Gay",14,22
"21325","Suwanee",42,5
"21326","Talking Rock",16,33
"21327","Devereux",24,8
"21328","Thomson",27,17
"21329","North Decatur",23,3
"21330","Smithville",34,3
"21331","Needmore",22,14
