"","City","Positive","Negative"
"350","Holly",14,17
"351","Valley",19,19
"352","Republic",22,23
"353","Odessa",29,14
"354","Edgewood",37,5
"355","Burlington",29,10
"356","Rice",19,11
"357","Marengo",25,18
"358","Cusick",19,18
"359","Virginia",24,18
"360","Concrete",27,10
"361","Langley",29,10
"362","Othello",36,6
"363","North City",24,9
"364","Hazel Dell",27,3
"365","Colfax",17,5
"366","Metaline",2,0
"367","Randle",22,11
"368","Millwood",15,5
"369","Snoqualmie Pass",29,9
"370","Bangor",31,4
"371","Thorp",25,13
"372","Tahlequah",29,11
"373","Prescott",28,6
"374","Buckley",26,9
"375","Leland",12,7
"376","Fruitvale",3,39
"377","Port Hadlock",6,0
"378","University Place",37,11
"379","Morton",27,11
"380","Deep River",21,13
"381","Elberton",25,10
"382","Kingston",10,34
"383","Silverton",25,9
"384","Vader",20,19
"385","Donald",20,22
"386","Miles",23,19
"387","Asotin",24,19
"388","Joyce",17,19
"389","Eagledale",7,1
"390","Port Ludlow",9,0
"391","Loomis",17,17
"392","New London",42,7
"393","Desert Aire",6,1
"394","Poulsbo",34,6
"395","Cedonia",3,2
"396","Union",32,11
"397","Suquamish",23,4
"398","Deep Creek",15,27
"399","Yoman",16,22
"400","Cordell",24,15
"401","Hoquiam",30,9
"402","Hay",21,9
"403","Nespelem",1,0
"404","Ephrata",32,8
"405","Kent",15,30
"406","Mukilteo",50,0
"407","Boise",31,8
"408","Kirkland",34,7
"409","Waitsburg",26,2
"410","Ridgecrest",26,3
"411","Freeman",23,12
"412","Dallesport",0,1
"413","Redmond",27,10
"414","Wilkeson",15,6
"415","Sisco Heights",0,2
"416","Lewisville",42,3
"417","Kennard Corner",0,0
"418","Benge",42,1
"419","Granger",26,7
"420","Yarrow Point",5,3
"421","Lost Creek",22,21
"422","Moxee City",1,0
"423","Hockinson",20,9
"424","Oakville",37,12
"425","Tukwila",26,13
"426","Mabana",15,14
"427","Kangley",4,2
"428","Clallam Bay",2,7
"429","Newport",27,13
"430","Clearview",43,5
"431","Sahalee",4,4
"432","Yelm",38,4
"433","Midway",30,13
"434","Olympia",22,12
"435","Endicott",39,5
"436","Lind",19,16
"437","Fife",25,8
"438","Newport Hills",20,4
"439","Upper Mill",13,7
"440","Upper Preston",10,3
"441","Pateros",25,8
"442","Nordland",20,1
"443","Tyler",15,18
"444","Camden",18,23
"445","Palisades",14,12
"446","Rockport",26,8
"447","Port Orchard",24,9
"448","Preston",23,10
"449","Tieton",34,6
"450","Rochester",31,7
"451","Bingen",32,7
"452","Harbour Pointe",13,4
"453","Wellpinit",6,0
"454","Glacier",16,8
"455","Farmington",14,29
"456","Eastsound",11,1
"457","Central Park",20,15
"458","Bremerton",23,18
"459","Friday Harbor",31,6
"460","Carnation",25,7
"461","Lake Shore",23,12
"462","Houghton",26,13
"463","Lester",19,12
"464","Lake Stevens",38,3
"465","Mineral",28,6
"466","Lake Stickney",5,2
"467","Acme",22,9
"468","Mossyrock",13,23
"469","Bridgeport",26,9
"470","Rosario",19,16
"471","Brewster",18,15
"472","Fox Island",18,19
"473","Canyon Park",32,3
"474","Rock Island",25,19
"475","High Rock",27,11
"476","Rockford",25,13
"477","Erlands Point",0,1
"478","Montesano",34,9
"479","Gorst",21,20
"480","Johnson",29,8
"481","Alderton",29,8
"482","Dusty",15,32
"483","Tekoa",26,9
"484","Bay Center",30,19
"485","La Center",35,7
"486","Mazama",27,5
"487","Selleck",31,8
"488","Amanda Park",21,13
"489","Doris",25,2
"490","Sunnydale",23,10
"491","Van Zandt",40,7
"492","McDonald",17,30
"493","Moclips",31,0
"494","Ocean Park",29,19
"495","West Valley",27,7
"496","Thompson Place",34,5
"497","Dungeness",26,7
"498","Birch Bay",43,3
"499","Stratford",16,23
"500","Ione",28,10
"501","Tacoma",17,15
"502","Barberton",19,21
"503","Yacolt",7,5
"504","Coulee Dam",43,3
